X,Y,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
945934.761,149343.3956,Lighthouse Hill,2,Lighthouse,Hill,,0,Staten Island
920422.1864,128643.2165,Richmond Valley,2,Richmond,Valley,,0,Staten Island
1032243.643,227361.8668,Malba,1,Malba,,,0,Queens
1014663.234,187766.0586,Highland Park,2,Highland,Park,,0,Brooklyn
998572.931,161293.3359,Madison,1,Madison,,,0,Brooklyn
1022502.943,249977.6635,Bronxdale,1,Bronxdale,,,0,Bronx
1023161.223,254738.7655,Allerton,1,Allerton,,,0,Bronx
1011486.086,256400.4338,Kingsbridge Heights,2,Kingsbridge,Heights,,0,Bronx
998630.9355,174973.2436,Erasmus,1,Erasmus,,,0,Brooklyn
984219.1477,214947.6417,Hudson Yards,2,Hudson,Yards,,0,Manhattan
1038263.874,153319.3542,Hammels,1,Hammels,,,0,Queens
1049228.878,162084.1664,Bayswater,1,Bayswater,,,0,Queens
999312.8787,214745.8179,Queensbridge,1,Queensbridge,,,0,Queens
961556.9784,164189.9387,Fox Hills,2,Fox,Hills,,0,Staten Island
